,employer,link,location,position_title,salary,excel,python,r,java,c,c++,matlab,sas,sql,tableau,hadoop,spark,power bi,tensorflow,keras,pytorch,theano,caffe,communication,problem solving,project management,consulting,presentation,leadership,documentation,marketing,lead,time management,collaborate,organize
14,TELUS International (CDA) Inc.,https://job-openings.monster.ca/gcp-data-pipeline-engineer-toronto-on-ca-telus-international-cda-inc/221802369,"Toronto, ON",GCP Data Pipeline Engineer,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15,MaxSys,https://job-openings.monster.ca/data-entry-clerk-senior-premier-commis-à-l’entrée-de-données-mississauga-on-ca-maxsys/221735540,"Mississauga, ON",*Data Entry Clerk Senior / Premier commis à l’entrée de données,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,IBM CA,https://job-openings.monster.ca/data-modeller-sql-developer-toronto-on-ca-ibm-ca/221690209,"Toronto, ON",Data Modeller /SQL Developer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Ivanhoé Cambridge Inc,https://job-openings.monster.ca/manager-data-analysis-internal-audit-montréal-qc-ca-ivanhoé-cambridge-inc/220541921,"Montréal, QC","Manager, Data Analysis, Internal Audit",,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Hays,https://job-openings.monster.ca/data-migration-specialist-pickering-on-ca-hays/222046457,"Pickering, ON",Data Migration Specialist,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
19,Intellex Systems Group,https://job-openings.monster.ca/data-storage-analyst-hadoop-edmonton-ab-ca-intellex-systems-group/221930430,"Edmonton, AB",Data Storage Analyst (Hadoop),,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Procom,https://job-openings.monster.ca/bilingual-data-entry-analyst-ms-excel-montréal-qc-ca-procom/222041465,"Montréal, QC","Bilingual Data Entry Analyst, MS Excel",,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21,Epsilon Solution Ltd,https://job-openings.monster.ca/azure-data-architect-toronto-on-ca-epsilon-solution-ltd/222042401,"Toronto, ON",Azure Data Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,TalentBurst Inc,https://job-openings.monster.ca/master-data-analyst-toronto-on-ca-talentburst-inc/221978934,"Toronto, ON",Master Data Analyst,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,Randstad,https://job-openings.monster.ca/sap-customer-data-cloud-gigya-identity-access-management-developer-113523-mississauga-on-ca-randstad/221973910,"Mississauga, ON",SAP Customer Data Cloud (Gigya Identity & Access Management)) Developer (113523),,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
24,TAL Group Inc,https://job-openings.monster.ca/aws-developer-data-engineer-greater-toronto-area-on-ca-tal-group-inc/221953184,"Greater Toronto Area, ON",AWS Developer/Data Engineer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Eagle Professional Resources,https://job-openings.monster.ca/chass-data-service-developer-role-toronto-on-ca-eagle-professional-resources/221865354,"Toronto, ON",CHASS Data Service Developer Role,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,T.E.S. Employment Solution,https://job-openings.monster.ca/data-architect-expert-x4-toronto-on-ca-t-e-s-employment-solution/221887140,"TORONTO, ON",DATA ARCHITECT (EXPERT) (x4),,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Eagle Professional Resources Inc,https://job-openings.monster.ca/chass-data-service-developer-role-toronto-gta-on-ca-eagle-professional-resources-inc/221835407,"Toronto/GTA, ON",CHASS Data Service Developer Role,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,Step By Step Professional Services Inc,https://job-openings.monster.ca/data-analyst-data-enablement-liberation-north-york-on-ca-step-by-step-professional-services-inc/221774297,"North York, ON",Data Analyst (Data Enablement & Liberation),,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,Ward Technology Talent Inc.,https://job-openings.monster.ca/data-service-developer-contract-toronto-on-ca-ward-technology-talent-inc/221769780,"Toronto, ON",Data Service Developer - CONTRACT,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30,HCL Technologies Limited,https://job-openings.monster.ca/azure-data-architect-vancouver-bc-ca-hcl-technologies-limited/221726535,"Vancouver, BC",Azure Data Architect,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,"Modis, Inc.",https://job-openings.monster.ca/intermediate-data-scientist-security-analytics-toronto-on-ca-modis-inc/221581393,"Toronto, ON","Intermediate Data Scientist, Security Analytics",,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,Precision ERP,https://job-openings.monster.ca/senior-data-analyst-analytics-consultant-surrey-bc-ca-precision-erp/221318685,"Surrey, BC",Senior Data Analyst / Analytics Consultant,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
33,RetailData,https://job-openings.monster.ca/data-collector-part-time-mississauga-on-ca-retaildata/219527532,"Mississauga, ON",Data Collector - Part-Time,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,MatchBox Consulting Group,https://job-openings.monster.ca/data-analyst-vancouver-bc-ca-matchbox-consulting-group/221174397,"vancouver, BC",Data Analyst,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
35,Ryerson University,https://job-openings.monster.ca/hvac-heating-ventilation-air-conditioning-systems-controls-mechanic-monday-to-friday-7-00a-toronto-on-ca-ryerson-university/221118239,"TORONTO, ON","HVAC (Heating, Ventilation & Air Conditioning)  Systems / Controls Mechanic - Monday to Friday 7:00a",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Primary Engineering & Construction,https://job-openings.monster.ca/telecommunications-designer-victoria-bc-ca-primary-engineering-construction/221632928,"Victoria, BC",Telecommunications Designer,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,Solvezit Business Solution Providers,https://job-openings.monster.ca/qa-specialist-longueuil-qc-ca-solvezit-business-solution-providers/222047441,"Longueuil, QC",QA Specialist,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
