title,code,desciption,university,skills
advanced-data-science-ibm,https://www.coursera.org/specializations/advanced-data-science-ibm,,,"['Data Science', 'Internet Of Things (IOT)', 'Deep Learning', 'Apache Spark', 'Statistics', 'Machine Learning', 'Long Short-Term Memory (ISTM)']"
code-free-data-science,https://www.coursera.org/learn/code-free-data-science,,,['']
linear-models,https://www.coursera.org/learn/linear-models,,,"['Statistics', 'Linear Regression', 'R Programming', 'Linear Algebra']"
vvedeniye-v-nauku-o-dannykh,https://www.coursera.org/learn/vvedeniye-v-nauku-o-dannykh,,,['']
julia-beginners-data-science,https://www.coursera.org/projects/julia-beginners-data-science,,,"['Data Science', 'Data Cleansing', 'Exploratory Data Analysis', 'julia']"
intermediate-pandas-python-library-data-science,https://www.coursera.org/projects/intermediate-pandas-python-library-data-science,,,"['Data Science', 'Python Programming', 'Data Analysis', 'Pandas', 'Numpy']"
genomic-data,https://www.coursera.org/learn/genomic-data,,,['']
linear-models-2,https://www.coursera.org/learn/linear-models-2,,,['']
data-science-project,https://www.coursera.org/learn/data-science-project,,,"['Data Science', 'Machine Learning', 'R Programming', 'Natural Language Processing']"
python-para-data-science,https://www.coursera.org/projects/python-para-data-science,,,"['Data Science', 'Machine Learning', 'Python Programming', 'JupyterNotebboks', 'Programming Model']"
plots-graphics-for-data-science,https://www.coursera.org/projects/plots-graphics-for-data-science,,,"['Data Science', 'Data Visualization (DataViz)', 'Plot (Graphics)']"
genomic-data-science-project,https://www.coursera.org/learn/genomic-data-science-project,,,['']
matlab-capstone,https://www.coursera.org/learn/matlab-capstone,,,['']
data-results,https://www.coursera.org/learn/data-results,,,['']
python-para-data-science-y-ai,https://www.coursera.org/learn/python-para-data-science-y-ai,,,['']
datasci-capstone,https://www.coursera.org/learn/datasci-capstone,,,"['Python Programming', 'R Programming', 'Data Analysis', 'Data Wrangling', 'Statistics']"
applied-data-science-for-data-analysts,https://www.coursera.org/learn/applied-data-science-for-data-analysts,,,"['Data Science', 'Machine Learning', 'Databricks']"
intro-analyticthinking-datascience-datamining,https://www.coursera.org/learn/intro-analyticthinking-datascience-datamining,,,"['Environmental Data Analysis', 'Data Documentation', 'Geophysical Data', 'Data Mining']"
data-science-fundamentals,https://www.coursera.org/specializations/data-science-fundamentals,,,"['Environmental Data Analysis', 'Data Documentation', 'Geophysical Data', 'Data Mining']"
msc-machine-learning-imperial,https://www.coursera.org/degrees/msc-machine-learning-imperial,,,['']
master-of-science-data-science-boulder,https://www.coursera.org/degrees/master-of-science-data-science-boulder,,,['']
master-of-data-science-hse,https://www.coursera.org/degrees/master-of-data-science-hse,,,['']
master-of-applied-data-science-umich,https://www.coursera.org/degrees/master-of-applied-data-science-umich,,,['']
master-of-computer-science-illinois,https://www.coursera.org/degrees/master-of-computer-science-illinois,,,['']
google-it-support,https://www.coursera.org/professional-certificates/google-it-support,,,"['Debugging', 'Encryption Algorithms and Techniques', 'Customer Service', 'Network Protocols', 'Cloud Computing', 'Binary Code', 'Customer Support', 'Linux', 'Troubleshooting', 'Domain Name System (DNS)', 'Ipv4', 'Network Model']"
deep-learning,https://www.coursera.org/specializations/deep-learning,,,"['Tensorflow', 'Convolutional Neural Network', 'Artificial Neural Network', 'Deep Learning', 'Backpropagation', 'Python Programming', 'Hyperparameter', 'Hyperparameter Optimization', 'Machine Learning', 'Inductive Transfer', 'Multi-Task Learning', 'Facial Recognition System']"
gcp-cloud-architect,https://www.coursera.org/professional-certificates/gcp-cloud-architect,,,"['Google Compute Engine', 'Google App Engine (GAE)', 'Google Cloud Platform', 'Cloud Computing', 'Virtual Machine', 'Network Architecture', 'Debugging', 'Cloud Storage', 'Data Store', 'Load Balancing', 'Virtual Private Network (VPN)', 'Autoscaling']"
google-it-automation,https://www.coursera.org/professional-certificates/google-it-automation,,,"['Using Version Control', 'Troubleshooting & Debugging', 'Python Programming', 'Configuration Management', 'Automation', 'Basic Python Data Structures', 'Fundamental Programming Concepts', 'Basic Python Syntax', 'Object-Oriented Programming (OOP)', 'Setting up your Development Environment', 'Regular Expression (REGEX)', 'Testing in Python']"
applied-artifical-intelligence-ibm-watson-ai,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,,,"['Data Science', 'Artificial Intelligence (AI)', 'Machine Learning', 'Python Programming', 'Watson (Computer)', 'Deep Learning', 'Jobs', 'Application Programming Interfaces (API)', 'watson', 'Data Analysis', 'Pandas', 'Numpy']"
ibm-cybersecurity-analyst,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst,,,"['information security analyst', 'IT security analyst', 'security analyst', 'Junior cybersecurity analyst', 'Information Security (INFOSEC)', 'IBM New Collar', 'Malware', 'Cybersecurity', 'Cyber Attacks', 'database vulnerabilities', 'Network Security', 'Sql Injection']"
gcp-data-machine-learning,https://www.coursera.org/specializations/gcp-data-machine-learning,,,"['Tensorflow', 'Bigquery', 'Google Cloud Platform', 'Cloud Computing']"
python-3-programming,https://www.coursera.org/specializations/python-3-programming,,,"['Json', 'Computer Programming', 'Python Programming', 'Sorting']"
neural-networks-deep-learning,https://www.coursera.org/learn/neural-networks-deep-learning,,,"['Artificial Neural Network', 'Backpropagation', 'Python Programming', 'Deep Learning']"
java-programming,https://www.coursera.org/specializations/java-programming,,,"['Html', 'JavaScript', 'Cascading Style Sheets (CCS)', 'Java Programming', 'Html5', 'Algorithms', 'Problem Solving', 'String (Computer Science)', 'Data Structure', 'Cryptography', 'Hash Table', 'Programming Principles']"
ai-foundations-for-everyone,https://www.coursera.org/specializations/ai-foundations-for-everyone,,,"['Data Science', 'Deep Learning', 'Artificial Intelligence (AI)', 'Machine Learning', 'Watson (Computer)', 'Jobs', 'Application Programming Interfaces (API)', 'watson']"
statistics,https://www.coursera.org/specializations/statistics,,,"['Bayesian Statistics', 'Linear Regression', 'Statistical Inference', 'R Programming', 'Statistics', 'Rstudio', 'Exploratory Data Analysis', 'Statistical Hypothesis Testing', 'Regression Analysis', 'Bayesian Linear Regression', 'Bayesian Inference', 'Model Selection']"
business-statistics-analysis,https://www.coursera.org/specializations/business-statistics-analysis,,,"['Microsoft Excel', 'Linear Regression', 'Statistical Hypothesis Testing', 'Lookup Table', 'Data Analysis', 'Pivot Table', 'Statistics', 'Statistical Analysis', 'Normal Distribution', 'Poisson Distribution', 'Log–Log Plot', 'Interaction (Statistics)']"
python-crash-course,https://www.coursera.org/learn/python-crash-course,,,"['Basic Python Data Structures', 'Fundamental Programming Concepts', 'Basic Python Syntax', 'Python Programming', 'Object-Oriented Programming (OOP)']"
